step,eta_Pa_s
0,6.744287596667e-06
20000,2.008862366667e-02
40000,1.345362580000e-02
60000,7.983198866667e-03
80000,1.034382126667e-02
100000,6.334589900000e-03
120000,8.115855166667e-03
140000,7.172655366667e-03
160000,7.145697800000e-03
180000,7.022922633333e-03
200000,6.262276466667e-03
220000,5.743064133333e-03
240000,6.281224300000e-03
260000,5.573591900000e-03
280000,6.668312666667e-03
300000,7.026419266667e-03
320000,6.939673966667e-03
340000,7.095098500000e-03
360000,6.942739800000e-03
380000,7.140323166667e-03
400000,6.638161200000e-03
420000,6.513727500000e-03
440000,6.239967666667e-03
460000,7.363712233333e-03
480000,7.484385433333e-03
500000,7.615340566667e-03
520000,7.698556533333e-03
540000,7.403045300000e-03
560000,7.241038400000e-03
580000,7.230391766667e-03
600000,7.328988900000e-03
620000,7.377372366667e-03
640000,7.299566233333e-03
660000,7.223061133333e-03
680000,7.072059600000e-03
700000,7.140863566667e-03
720000,7.207912900000e-03
740000,7.109496166667e-03
760000,7.072176633333e-03
780000,7.094373300000e-03
800000,7.086781933333e-03
820000,7.165946833333e-03
840000,7.072664666667e-03
860000,7.063522833333e-03
880000,6.920168933333e-03
900000,6.820884900000e-03
920000,6.807748400000e-03
940000,6.681017166667e-03
960000,6.662020566667e-03
980000,6.749645033333e-03
1000000,6.981270666667e-03
1020000,7.096024133333e-03
1040000,7.154440000000e-03
1060000,6.952219766667e-03
1080000,6.936558066667e-03
1100000,6.853719400000e-03
1120000,6.946441333333e-03
1140000,6.818218033333e-03
1160000,6.599399833333e-03
1180000,6.659608300000e-03
1200000,6.412083733333e-03
1220000,6.437022133333e-03
1240000,6.478214666667e-03
1260000,6.534384466667e-03
1280000,6.589105166667e-03
1300000,6.587213900000e-03
1320000,6.512278933333e-03
1340000,6.448707966667e-03
1360000,6.325397566667e-03
1380000,6.517033733333e-03
1400000,6.423463233333e-03
1420000,6.530536166667e-03
1440000,6.488006200000e-03
1460000,6.404306533333e-03
1480000,6.470138233333e-03
1500000,6.615651200000e-03
1520000,6.547080233333e-03
1540000,6.634338666667e-03
1560000,6.616121033333e-03
1580000,6.566302300000e-03
1600000,6.556793100000e-03
1620000,6.499446766667e-03
1640000,6.526964633333e-03
1660000,6.528791500000e-03
1680000,6.439162533333e-03
1700000,6.341992166667e-03
1720000,6.298834433333e-03
1740000,6.345944166667e-03
1760000,6.263333533333e-03
1780000,6.192368900000e-03
1800000,6.153904566667e-03
1820000,6.116728233333e-03
1840000,6.204719233333e-03
1860000,6.201799566667e-03
1880000,6.169777300000e-03
1900000,6.146976000000e-03
1920000,6.124913333333e-03
1940000,6.087492900000e-03
1960000,6.035290400000e-03
1980000,5.999977533333e-03
2000000,5.933148600000e-03
2020000,5.877445566667e-03
2040000,5.840016333333e-03
2060000,5.887645366667e-03
2080000,5.831731433333e-03
2100000,5.827185300000e-03
2120000,5.784619866667e-03
2140000,5.742409000000e-03
2160000,5.692760366667e-03
2180000,5.635212566667e-03
2200000,5.594405333333e-03
2220000,5.606900766667e-03
2240000,5.588297933333e-03
2260000,5.555347966667e-03
2280000,5.551766933333e-03
2300000,5.531559000000e-03
2320000,5.468204833333e-03
2340000,5.419304533333e-03
2360000,5.370312400000e-03
2380000,5.368799900000e-03
2400000,5.371076966667e-03
2420000,5.374261066667e-03
2440000,5.362788833333e-03
2460000,5.453007166667e-03
2480000,5.561639466667e-03
2500000,5.507374200000e-03
2520000,5.470445266667e-03
2540000,5.425483900000e-03
2560000,5.381807166667e-03
2580000,5.332762966667e-03
2600000,5.331395866667e-03
2620000,5.301144966667e-03
2640000,5.281846433333e-03
2660000,5.271968733333e-03
2680000,5.276664466667e-03
2700000,5.343147666667e-03
2720000,5.359619433333e-03
2740000,5.358071333333e-03
2760000,5.339396100000e-03
2780000,5.456948433333e-03
2800000,5.437665200000e-03
2820000,5.495236133333e-03
2840000,5.543933333333e-03
2860000,5.564885133333e-03
